,BLOCK_NUMBER,ETH_FROM_ADDRESS,AMOUNT,TX_HASH,ENS
43,17366152,0x91b883bbea30d674b617e64271779de2e693a1ec,0.5,0x711f21abfa137bfaa835b4979e2f2c1901c99364c72cdad29d5369fa087de97d,x88888888.eth
33,17366133,0x7f3224d8310a3ccc73ebcd5210006b3d5d2e6d54,0.0899,0x01246635b2d1f770ea561484e1a18e25951086960a88227c7ffbf731540f4647,thavanillagorilla.eth
30,17366130,0xe22059d454c705f70ffe2a5706844a3a27a2bec8,0.5,0xc486efd711654bf733a67697c71526ee20b07b0d311e47b5bfb25e74eff62985,tuork.eth
10,17366104,0xf54657504ec23f9bcf91f8e82bdfa77db8425e27,0.1,0x503bc1acfbe01d8f96ce396db4b418e4668dae4df350df566999593958043cab,nft-blubb.eth
1,17366093,0xada13fc7089745118d55468d8b384f2697c33e14,0.2,0x0d93213854704cb19bcf18dd6e604595213f30b965e225773c929f88040a02e0,drdeps.eth
62,17366183,0x61aa1430138824abd0c1f0878a3da2ba18071e8c,0.1,0xd903a0cf5b3e38114b565f1e910312794f0d30941faeb820a775c5abb3f46fbd,agrawas.eth
60,17366181,0x9a972c2a1b67f788f47646f053c0d232c4bb8aee,0.2,0xe86f9e16bf05d39b5adff59bdc12bd50113bbebdb22fc1f313634bb6f870b9dc,carallo.eth
65,17366189,0x90db1a78080f9088125881b35f028c979a46d39c,0.01,0xffed913a50e433e84b8ab0cedfabb3105df2e46c9b694a8b35e5545f1beb3d88,holyshitbearsarefucked.eth
67,17366198,0x05a40eb6a5997b8ceb7748d37de2c58780b4c925,0.2,0xf8444cbc872564a41bb297c0fad8470caae40462b3326dcca95e25496101410a,dangleeballs.eth
78,17366220,0xa1d6ae0d6d7c539fda043bec4eb8c91201071223,0.01,0x134f9a11e24a7307ac0af4bcc86ca33df4705c442dc3ffa7a7a48c09aa21e55a,austinhambelton.eth
73,17366207,0x1b0b1d94b99900863b3903dfab907594f666cd71,0.05296315618,0xc004a2036ddfa7dc65efe47eef9689c9ecc079275586be15cff78d6020d170ea,cliffordnft.eth
80,17366223,0xd4be42ffe0e8896a6246b97b5df508588735f756,0.25,0xa61a8f929d405fe587aff8c15b86209602ea9b84f3f95c100059aecdb48fee6a,shivamgupta.eth
81,17366223,0x27fd36e07bca70e64bdc1425e6bb5383d5089b62,0.525,0x58a5dc24eaea6f74a7a69183a9f2cdfeb01fd5674b958a86a1ce6bb309510e97,etheraria.eth
84,17366233,0x637193d947878065596f3ee4cc01a46ffba5fe7e,0.1,0x693af08e5a620a8a69e48d4f958e19724121313a9fbd168607bfc9fb44b166a3,geistvonjus.eth
92,17366252,0x55dc2a116bfe1b3eb345203460db08b6bb65d34f,0.8,0x0060e3caaddd0aae3472a3d3e6e9d79298e004c4c91a5dfe657e042ec097fca5,riverrun.eth
91,17366251,0xbb29504f136db5f69dd0e5c0ac5870b16e2d0941,0.15,0xab1bcac61bd8edfe33bf91b25e1da3d490d79c946dad9bb768f0dbe73856eb03,trying2think.eth
101,17366273,0xafc9d73db42ad9f6ca4946893cee92f780a8178c,0.111,0x66e3c4c95df24afc10e096a0c1810c7d67e01e4bc23af72197490cecf87e49a7,dannybot.eth
110,17366357,0x1b0796ac1f5bdb9ea6711604a7fa68cfe20a03f3,0.02,0x2b0da02e3e44eb453bd4c24c3d448c8480231d3f33566c7f9805f6bfa7ce65a2,boter.eth
