,BLOCK_NUMBER,ETH_FROM_ADDRESS,AMOUNT,TX_HASH,ENS
41,17343825,0x00c980f967b3e94e471c94d226da998e1eb55a33,0.1,0x7f69f09cc1e92883de8a6bf46d260d1cd973d907024552b7ddef6ec90e30d417,nealio.eth
38,17343805,0x986e92868a27548a31e88f7692e746cd7e86f39a,0.1,0x90a23735771b6653973f9ea9a7397fdfd81132551ef5fc91ab5815ad6d370bfc,changethegame.eth
27,17343549,0x59975dfe25845bf9c0eff1102ac650599c3f491a,0.05,0xbbfc86712bcb3b312b43d144692ed1d425ebf9c2584eaa7aec9e1ce6071cdddf,cryptopeerani.eth
17,17343240,0xd4be42ffe0e8896a6246b97b5df508588735f756,0.2,0x91140c51a9ff3a36935d0ccaa1addb0987eb621ce9f6cd9c8cfa43a1a929842c,shivamgupta.eth
32,17343749,0x31e40c0ad5560ead5140138d811b30bd0864d28e,0.00990009156,0x350ba5974126b544334b6241d15ab3d625ae2e7a0b36802900add3d31c94b288,kr4m.eth
11,17343218,0x5fbc5d5d143e68b530ad75a4826ad3bc8add6a40,0.5,0x58eddd1892ca16d99d537dd3ac307f50fba95b7dcbbf1b06463ec65f43dbb44c,cuminsider.eth
1,17343200,0x2cedb1c02cfbfcf672191af4f22d063b01751dd0,0.05,0xd3cbdc9811dedecc5b94f6da923d977d15237a39eceb6c355ced6035e9027531,kimjungmoon.eth
6,17343210,0xbc9abd9857250d664f5d8963115f21a46156b862,0.25,0xb31a8d7409e205724e8c725c974dbb7e3b64d633b1823cf3b7f98eb5b665bec4,duductoan.eth
60,17344363,0x9481d8bc76fb1b7d2f95733a6ec0b40d0cb1fffc,0.15,0xfa3ca3fade61911196773378b7d6b69e9f0e9fa5a3336767f97df87747242245,nftacular.eth
67,17344614,0x3c023a13bd0335f4535031f9c79fc63898a6a2b7,0.028,0x63da681a10d8396bfa2eeaced2ba81fea8573b1ec1fb0d0137c34201b420d114,81624.eth
73,17344739,0x690126d3e029844e5d640e8cc125e3e1b57186ba,0.07,0x5a12be3d8e910e49a827f266a0513c3c400d9efec52769d14fa5b7a5e82e0155,elkefe.eth
68,17344650,0x35f4cf5a023976a523e3d4821ff72720f741614f,0.032,0x933bb47fd3b2c25b61b5da13d9a752b411e56fcc371c98c8d111c510bba4cd00,degenanime.eth
71,17344676,0xd6dad5e5a6a43364413090af81e884643c8685c9,0.3532520838,0xec290c56f3e0ae20ffb2784d0d708e7628edb55fad8e345264e73934965cd9c9,nftcollectoooor.eth
74,17344747,0x7baf191cfaa4a0b08991fb728179baaf3917836a,0.111,0x07b4c85756614647c5e1ed227bf981ecf2aa99e5830456b38768e5e8f6b16a82,vanishingpoint.eth
85,17345993,0xefd558e55125baa3555c862c7f31fd6127af6cd8,0.01911516233,0x6f13ea76832b738b1f792a2d8c0d71714b901a4bdcc90f49adfd8b3e31247243,loggan.eth
87,17347441,0xec61cd3e30c611e46042cb52020444018efd0beb,0.027,0x83d54393d0c2598fd1e0ff58d213f25c1776aa9ec2c3aea2dd1f2c918f0ee222,myloveispure.eth
89,17347671,0x107a7478d00378a123f2f9b947e6213a7b38b23b,0.14,0xc1af3b69aedbe4cd3bbc8e306358eb7b07784e89b36a414e529cb65d0c343a38,lauramarie.eth
91,17347976,0x2d971977feb62637493f7519a4e4d8f37431c565,0.06057166556,0x1b5abbcab97dbff6f1de9fd9046bea2ae019d02bc5f55cf3ee96a995603e39a6,honeydropsk.eth
92,17348037,0xa0f785e3e3dd751f1f5cecb224cf39f474eed844,0.008613571776,0x522e2cd85af23e10187ca668ceace3aa5530f8022d80f02ef4dfd534cd8ad892,kevo.q00t.eth
97,17348812,0xbbfda7bd4ca9e81714dc84f828dad893ca7978f0,0.02,0x75e074dc38057641f825ad910ffeb05961622daa5f2ac88b980235c5e1e967ef,omennutjr.eth
98,17348883,0xa598deafd560353e75592ae6ab558ea90a0aefbe,0.01,0xb5a9aef6a12ccdf21e7d967164702b08302b6e91ea32e548b8613b464af309c3,aleksaarnaut.eth
104,17349995,0xd9bbb874b906888b4cc8b4a15a801e68986ae4f3,0.07521344456,0xc803ed48060d50cc5f64b8f5fc4f8f32840e6457099423933d0d19ca03c74192,haugas.eth
110,17351282,0x84774a8fc9299f088a497c49a1ecb8270d591910,0.01,0x6283344a7c07cc8fc723723bce0d8d2d653132734e64e148fba068ec5a064aca,givener.eth
117,17354930,0xac02744d1796717ab6e93264becf7086530376db,0.43,0x4a076f0daf0dc6a27ef67a1e08b367fab66f213d2a202a2c453d33cfe322759f,howies.eth
124,17355392,0x8cc84c70d7082e987c304d1b275c727c78f73351,0.3,0x240ea3899b2cd35cddd8cfb6c3dda23633af299b99cbd43769d9e01a815cadc8,ysyyds.eth
